fragment, used, inprojects, sloc, usedsloc, percent,,
24973385_0.java,29,3,59,10,0.17,,
10814214_2.java,29,1,22,7,0.32,,
3865391_0.java,28,1,19,7,0.37,,
3032205_0.java,28,1,23,7,0.3,,
10713332_0.java,28,1,25,7,0.28,,
23605439_0.java,28,1,97,7,0.07,,
17997605_0.java,27,5,28,10,0.36,,
4377130_0.java,27,5,36,10,0.28,,
4247539_0.java,27,1,17,7,0.41,,
9945067_0.java,27,1,22,7,0.32,,
6486206_0.java,27,1,23,7,0.3,,
4329039_5.java,27,1,25,7,0.28,,
11694204_0.java,27,1,25,7,0.28,,
25321858_0.java,27,1,29,7,0.24,,
11903456_0.java,27,1,32,7,0.22,,
22625057_0.java,27,1,33,7,0.21,,
13136224_1.java,27,1,36,7,0.19,,
24475366_0.java,27,1,36,7,0.19,,
20791703_0.java,27,1,41,7,0.17,,
13933424_0.java,26,5,24,10,0.42,,
10814214_1.java,26,2,126,5,0.04,,
17635649_0.java,24,10,47,7,0.15,,
23528334_1.java,24,3,21,10,0.48,,
4268247_1.java,23,11,38,5,0.13,,
21642132_0.java,23,11,68,5,0.07,,
21678096_0.java,23,11,107,5,0.05,,
20227507_1.java,22,5,22,10,0.45,,
20590064_1.java,22,5,22,10,0.45,,
18832502_1.java,21,11,25,5,0.2,,
6965149_0.java,21,11,30,5,0.17,,
20462607_0.java,21,11,116,5,0.04,,
25683631_0.java,21,11,151,5,0.03,,
22291914_1.java,21,11,180,5,0.03,,
25198825_0.java,21,5,30,10,0.33,,
11083864_3.java,21,5,37,10,0.27,,
11083864_1.java,21,5,38,10,0.26,,
11058682_0.java,21,5,53,10,0.19,,
11038888_1.java,21,5,61,10,0.16,,
21161594_1.java,21,5,65,10,0.15,,
12852742_0.java,21,1,95,6,0.06,,
23305945_0.java,20,4,12,5,0.42,,
10000096_1.java,20,3,17,10,0.59,,
12936580_0.java,20,1,212,5,0.02,,
14274409_1.java,19,3,24,10,0.42,,
23272461_3.java,19,3,37,10,0.27,,
22970618_0.java,19,3,38,10,0.26,,
13459971_0.java,19,3,52,10,0.19,,
