fragment, used, inprojects, sloc, usedsloc, percent,,,,,,,
11083864_3.java,23,23,37,10,0.27027027,,,,,,,
24963319_0.java,1,1,20,16,0.8,,,,,,,
7504040_0.java,3,1,22,6,0.272727273,,,,,,,
13434746_0.java,181,150,42,6,0.142857143,,,,,,,
16326090_1.java,1,1,89,5,0.056179775,,,,,,,
14155715_0.java,511,170,17,7,0.411764706,,,,,,,
9172062_0.java,1,1,13,6,0.461538462,,,,,,,
12375937_0.java,2,2,24,10,0.416666667,,,,,,,
2132385_0.java,196,160,28,8,0.285714286,,,,,,,
22625057_0.java,46,28,33,7,0.212121212,,,,,,,
13631637_0.java,1,1,7,5,0.714285714,,,,,,,
15554960_2.java,1,1,131,7,0.053435115,,,,,,,
24599632_1.java,1,1,152,7,0.046052632,,,,,,,
21280704_0.java,521,170,49,7,0.142857143,,,,,,,
6652482_0.java,1,1,31,7,0.225806452,,,,,,,
4487541_0.java,1,1,25,6,0.24,,,,,,,
22876532_0.java,3,1,25,6,0.24,,,,,,,
15633427_0.java,1,1,12,10,0.833333333,,,,,,,
9984165_0.java,1,1,68,10,0.147058824,,,,,,,
24120791_1.java,1,1,8,7,0.875,,,,,,,
25092487_0.java,11,11,17,7,0.411764706,,,,,,,
14073238_0.java,9,9,53,10,0.188679245,,,,,,,
23272461_10.java,4,4,23,10,0.434782609,,,,,,,
8252690_0.java,789,183,60,7,0.116666667,,,,,,,
20755453_0.java,811,183,28,7,0.25,,,,,,,
9319652_1.java,2,2,35,7,0.2,,,,,,,
15698192_2.java,547,155,27,9,0.333333333,,,,,,,
18833798_0.java,1,1,43,7,0.162790698,,,,,,,
13136224_1.java,46,28,36,7,0.194444444,,,,,,,
23463899_0.java,7,6,20,6,0.3,,,,,,,
12486929_0.java,2,2,96,10,0.104166667,,,,,,,
16270950_0.java,8,4,22,5,0.227272727,,,,,,,
13298858_1.java,4,4,24,7,0.291666667,,,,,,,
21324207_0.java,1,1,34,7,0.205882353,,,,,,,
7311394_0.java,1,1,21,6,0.285714286,,,,,,,
12381574_0.java,1,1,51,10,0.196078431,,,,,,,
24780122_0.java,1,1,60,5,0.083333333,,,,,,,
1516601_0.java,789,183,47,7,0.14893617,,,,,,,
18928222_0.java,4,4,103,7,0.067961165,,,,,,,
24013939_0.java,2,2,12,9,0.75,,,,,,,
14330686_0.java,2,2,12,11,0.916666667,,,,,,,
1732506_0.java,5,4,25,5,0.2,,,,,,,
23241331_0.java,1,1,105,7,0.066666667,,,,,,,
22622437_0.java,16,8,44,7,0.159090909,,,,,,,
11173409_0.java,1,1,24,5,0.208333333,,,,,,,
13293946_0.java,5,5,49,5,0.102040816,,,,,,,
20895609_0.java,1,1,85,11,0.129411765,,,,,,,
21545044_0.java,1,1,29,10,0.344827586,,,,,,,
