x,stackoverflow_formatted/6082389_0.java,14,26,apache-ant-1.10.0/src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java,380,392,13
x,stackoverflow_formatted/7211514_0.java,121,133,jboss_wildfly-10.0.0.Final/testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/jpa/multipleinjections/Car.java,7,19,13
x,stackoverflow_formatted/10105260_0.java,12,24,hibernate-5.2.2/hibernate-core/src/test/java/org/hibernate/test/jpa/cascade/Parent.java,9,21,13
x,stackoverflow_formatted/16928749_0.java,51,63,hadoop-2.6.4-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/TextOutputFormat.java,52,64,13
x,stackoverflow_formatted/17698380_0.java,47,59,geotools-16/modules/library/main/src/main/java/org/geotools/styling/ExtentImpl.java,6,18,13
x,stackoverflow_formatted/3925121_0.java,6,18,jgraph-3.5.1.5/examples/com/mxgraph/examples/swing/HelloWorld.java,9,21,13
x,stackoverflow_formatted/19154487_0.java,2,14,hibernate-5.2.2/hibernate-core/src/test/java/org/hibernate/test/schemaupdate/inheritance/Person.java,4,16,13
x,stackoverflow_formatted/16058183_0.java,1,13,jfreechart-1.2.0-ea1/source/org/jfree/data/KeyToGroupMap.java,18,30,13
x,stackoverflow_formatted/5883717_1.java,2,14,apache-ant-1.10.0/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java,529,541,13
x,stackoverflow_formatted/18779036_0.java,2,14,hibernate-5.2.2/hibernate-core/src/test/java/org/hibernate/test/component/empty/ComponentEmptyEmbedded.java,5,17,13
x,stackoverflow_formatted/12023209_0.java,54,66,findbugs-3.0.1/src/java/edu/umd/cs/findbugs/util/Util.java,376,388,13
x,stackoverflow_formatted/14908094_2.java,2,14,hibernate-5.2.2/hibernate-core/src/test/java/org/hibernate/test/annotations/onetoone/Father.java,3,15,13
x,stackoverflow_formatted/12427981_1.java,24,36,jboss_wildfly-10.0.0.Final/testsuite/integration/ws/src/test/java/org/jboss/as/test/integration/ws/wsrm/ReliableCheckHandler.java,149,161,13
x,stackoverflow_formatted/4207100_2.java,19,30,geotools-16/modules/library/referencing/src/main/java/org/geotools/referencing/operation/matrix/GeneralMatrix.java,358,369,12
x,stackoverflow_formatted/15095000_0.java,18,29,geotools-16/modules/library/main/src/main/java/org/geotools/styling/DescriptionImpl.java,50,61,12
x,stackoverflow_formatted/20453802_0.java,43,54,geotools-16/modules/library/jdbc/src/main/java/org/geotools/jdbc/VirtualTableParameter.java,40,51,12
