fragment, used, inprojects, sloc, usedsloc, percent
12907249_0.java,1,1,39,7,0.1794871794871795
2770163_2.java,1,1,105,7,0.06666666666666667
4771030_0.java,1,1,15,6,0.4
17297819_0.java,1,1,12,6,0.5
5190105_0.java,1,1,37,10,0.2702702702702703
10636043_0.java,1,1,12,7,0.5833333333333334
14693840_0.java,1,1,24,10,0.4166666666666667
21099738_0.java,1,1,58,15,0.25862068965517243
8424176_0.java,1,1,23,10,0.43478260869565216
20166855_0.java,1,1,13,7,0.5384615384615384
11279561_0.java,1,1,127,10,0.07874015748031496
16326090_1.java,1,1,89,5,0.056179775280898875
20690969_0.java,1,1,81,6,0.07407407407407407
8758512_0.java,1,1,12,8,0.6666666666666666
11958726_0.java,1,1,95,9,0.09473684210526316
16058183_0.java,1,1,14,12,0.8571428571428571
9984165_0.java,1,1,68,10,0.14705882352941177
11173409_0.java,1,1,24,5,0.20833333333333334
92962_0.java,1,1,62,49,0.7903225806451613
22674477_0.java,1,1,106,6,0.05660377358490566
15889119_0.java,1,1,17,15,0.8823529411764706
7532965_0.java,1,1,13,6,0.46153846153846156
14176961_1.java,1,1,14,5,0.35714285714285715
15383688_0.java,1,1,8,5,0.625
24748828_0.java,1,1,7,5,0.7142857142857143
7504040_3.java,1,1,28,6,0.21428571428571427
17756093_0.java,1,1,9,7,0.7777777777777778
13607687_0.java,1,1,9,7,0.7777777777777778
7504040_2.java,1,1,15,6,0.4
7653558_2.java,1,1,17,7,0.4117647058823529
9060013_0.java,1,1,15,7,0.4666666666666667
16755253_0.java,1,1,18,6,0.3333333333333333
8007983_1.java,1,1,16,6,0.375
4705410_0.java,1,1,20,8,0.4
8802082_2.java,1,1,20,18,0.9
17979690_0.java,1,1,71,6,0.08450704225352113
15429589_0.java,1,1,7,6,0.8571428571428571
25505852_2.java,1,1,28,7,0.25
22466372_0.java,1,1,20,6,0.3
11187462_0.java,2,1,87,12,0.13793103448275862
12427981_1.java,2,1,55,15,0.2727272727272727
4024890_0.java,2,1,30,7,0.23333333333333334
18502506_0.java,2,1,30,6,0.2
21702608_0.java,2,1,36,12,0.3333333333333333
