No. of LOC, Occurrences
6,288
7,356
8,703
9,771
10,508
11,337
12,293
13,55
14,13
15,4
16,10
17,24
18,3
19,3
20,4
21,2
22,1
25,3
29,2
30,2
33,1
34,1
38,1
41,1
50,1
54,1
58,1
64,2
