Used, Number of Fragments
1,264
2,50
3,50
4,21
5,40
6,22
7,26
8,2
9,6
11,1
13,5
14,14
15,4
19,10
20,9
21,12
23,4
24,2
26,1
28,1
54,5
55,14
56,1
57,2
58,1
60,19
64,1
66,42
80,1
86,2
88,1
91,3
100,4
156,1
158,5
163,1
