Used, Number of Fragments
1,237
2,51
3,48
4,23
5,38
6,23
7,11
8,12
9,12
10,1
11,4
13,4
14,14
15,2
16,2
17,3
19,6
20,3
21,12
22,2
23,3
24,2
26,2
27,13
28,4
29,3
30,4
34,1
41,1
54,2
59,2
60,11
61,2
62,2
71,1
76,1
81,1
104,3
105,2
108,2
111,1
156,1
161,17
166,1
168,1
172,1
219,1
258,30
259,2
270,4
271,2
272,2
273,1
285,1
308,1
343,1
347,2
349,1
419,1
464,3
474,1
480,1
551,1
