fragment, used, inprojects, sloc, usedsloc, percent,
6121298_0.java,3,3,22,9,0.41,
10599247_0.java,1,1,17,9,0.53,
12835370_0.java,8,4,12,9,0.75,
11202699_0.java,8,4,12,9,0.75,
12428601_0.java,8,4,12,9,0.75,
24013939_0.java,4,4,12,9,0.75,
25414160_0.java,2,1,11,9,0.82,
14845581_1.java,1,1,11,9,0.82,
7727999_0.java,2,2,203,8,0.04,
13824658_2.java,3,1,202,8,0.04,
13247649_0.java,4,2,106,8,0.08,
13678077_1.java,1,1,84,8,0.10,
13678077_0.java,1,1,73,8,0.11,
4533682_1.java,71,58,61,8,0.13,
17708273_0.java,4,2,58,8,0.14,
10165127_0.java,11,3,57,8,0.14,
24652083_0.java,59,57,55,8,0.15,
18614607_0.java,9,5,43,8,0.19,
18833798_0.java,1,1,43,8,0.19,
15959072_0.java,4,3,32,8,0.25,
2132385_0.java,59,57,28,8,0.29,
13836362_1.java,8,8,28,8,0.29,
2752455_0.java,9,3,23,8,0.35,
23782959_0.java,9,3,23,8,0.35,
1201102_0.java,9,3,23,8,0.35,
10135259_0.java,9,3,22,8,0.36,
4705410_0.java,1,1,20,8,0.40,
19340685_0.java,1,1,17,8,0.47,
609430_0.java,1,1,17,8,0.47,
22553523_0.java,1,1,16,8,0.50,
4608146_0.java,8,3,13,8,0.62,
8758512_0.java,1,1,12,8,0.67,
21581988_0.java,258,66,421,7,0.02,
24330611_0.java,273,66,355,7,0.02,
7995857_0.java,2,2,285,7,0.02,
15260207_0.java,7,2,227,7,0.03,
24604869_0.java,1,1,212,7,0.03,
23426261_2.java,1,1,181,7,0.04,
22143333_0.java,4,1,176,7,0.04,
5764008_1.java,5,5,164,7,0.04,
24231072_3.java,4,4,146,7,0.05,
1665237_0.java,1,1,146,7,0.05,
11569223_0.java,1,1,143,7,0.05,
3911987_0.java,5,3,133,7,0.05,
11867360_0.java,1,1,132,7,0.05,
14636363_1.java,30,24,130,7,0.05,
5419632_0.java,3,1,120,7,0.06,
13435398_0.java,258,66,115,7,0.06,
24959408_0.java,1,1,113,7,0.06,
22496562_1.java,1,1,113,7,0.06,
23546673_0.java,1,1,112,7,0.06,
2770163_2.java,1,1,105,7,0.07,
18928222_0.java,3,3,103,7,0.07,
18921519_0.java,1,1,102,7,0.07,
17941176_0.java,258,66,101,7,0.07,
22683989_0.java,1,1,98,7,0.07,
23605439_0.java,28,15,97,7,0.07,
14455624_1.java,161,60,95,7,0.07,
3664108_0.java,474,163,90,7,0.08,
23254493_0.java,8,6,89,7,0.08,
19153957_0.java,4,3,89,7,0.08,
13219118_0.java,5,3,85,7,0.08,
17128289_0.java,1,1,85,7,0.08,
10055548_0.java,308,86,84,7,0.08,
25044969_0.java,258,66,81,7,0.09,
8701537_0.java,1,1,80,7,0.09,
22393642_0.java,2,2,76,7,0.09,
24772546_0.java,161,60,75,7,0.09,
16292834_0.java,172,86,72,7,0.10,
5338272_0.java,1,1,72,7,0.10,
16930707_0.java,2,1,71,7,0.10,
20453802_0.java,258,66,69,7,0.10,
22600739_0.java,14,7,68,7,0.10,
11671112_0.java,419,66,65,7,0.11,
5209299_0.java,1,1,64,7,0.11,
7383847_1.java,259,66,63,7,0.11,
4207100_3.java,272,66,62,7,0.11,
22264084_0.java,258,66,62,7,0.11,
6966963_0.java,13,13,62,7,0.11,
10194435_0.java,285,80,61,7,0.11,
14983497_0.java,5,5,61,7,0.11,
8252690_0.java,258,66,60,7,0.12,
21478546_0.java,3,3,60,7,0.12,
13066157_0.java,258,66,57,7,0.12,
3482765_0.java,258,66,57,7,0.12,
18646292_0.java,1,1,57,7,0.12,
20829961_0.java,464,158,56,7,0.13,
20968539_2.java,3,3,56,7,0.13,
5058210_0.java,1,1,55,7,0.13,
23419554_0.java,14,7,52,7,0.13,
25676286_0.java,6,4,51,7,0.14,
19298607_0.java,5,4,51,7,0.14,
21280704_0.java,166,60,49,7,0.14,
19492512_0.java,3,3,49,7,0.14,
1888284_0.java,1,1,49,7,0.14,
3938161_1.java,1,1,49,7,0.14,
11917735_0.java,258,66,48,7,0.15,
1516601_0.java,258,66,47,7,0.15,
17635649_0.java,24,14,47,7,0.15,
9591522_0.java,258,66,46,7,0.15,
3851674_0.java,258,66,46,7,0.15,
15850476_0.java,258,66,46,7,0.15,
4207100_2.java,272,66,45,7,0.16,
25776609_1.java,1,1,45,7,0.16,
14735904_0.java,258,66,44,7,0.16,
22622437_0.java,14,7,44,7,0.16,
2953040_0.java,1,1,44,7,0.16,
23800112_0.java,1,1,44,7,0.16,
2265637_0.java,258,66,43,7,0.16,
24040300_3.java,258,66,43,7,0.16,
21146668_0.java,156,156,43,7,0.16,
6286898_0.java,108,54,43,7,0.16,
16688737_0.java,270,66,41,7,0.17,
17920930_0.java,258,66,41,7,0.17,
20791703_0.java,27,14,41,7,0.17,
9684751_0.java,258,66,40,7,0.18,
10702534_0.java,54,54,40,7,0.18,
5961624_0.java,258,66,39,7,0.18,
16462678_0.java,161,60,39,7,0.18,
22010866_1.java,9,6,39,7,0.18,
11555597_0.java,6,4,39,7,0.18,
12907249_0.java,1,1,39,7,0.18,
25157616_1.java,161,60,38,7,0.18,
