SD,SE,ND,NE
,,,1
,,,128
,,,21924
,,,29714
,,,20437
,,,2775
,,,14169
,,,2
,,,175733
,,,16822
,,,4711
,,,8730
,,,14325
,,,15912
,,,20452
,,,33506
,,,158
,,,20510
,,,1
,,,5221
,,,10893
,,,199109
,,,6
,,,33099
,,,48
,,,702
,,,3
,,,11957
,,,29286
,,,32689
,,,17908
,,,17
,,,14568
,,,23
,,,1841
,,,21248
,,,5
,,,45951
,,,30703
,,,3692
,,,17999
,,,172
,,,6
,,,15199
,,,11091
,,,6369
,,,49
,,,7705
,,,6
,,,32568
,,,209
,,,26808
,,,108642
,,,605
,,,131
,,,7
,,,1
,,,33099
,,,12244
,,,6324
,,,29716
,,,5367
,,,5135
,,,13757
,,,59232
,,,11255
,,,2
,,,5
,,,1768
,,,20900
,,,48
,,,18463
,,,21248
,,,3307
,,,47467
,,,7
,,,21758
,,,175733
,,,21248
,,,96388
,,,8
,,,1018
,,,5350
,,,21248
,,,56
,,,2
,,,72998
,,,33723
,,,6037
,,,33101
,,,18321
,,,2
,,,21248
,,,6094
,,,127
,,,48
,,,2
,,,33106
,,,20857
,,,168503
,,,54340
,,,22685
,,,17694
,,,3
,,,1650
,,,1506
,,,4986
,,,10316
,,,291
,,,1517
,,,21248
,,,5684
,,,65797
,,,21826
,,,33621
,,,30476
,,,71771
,,,21150
,,,62289
,,,18686
,,,48
,,,6536
,,,281
,,,28304
,,,1463
,,,10685
,,,986
,,,9384
,,,1
,,,20516
,,,19161
,,,194
,,,635
,,,54251
,,,16999
,,,28529
,,,6824
,,,17
,,,49364
,,,21248
,,,6089
,,,11353
,,,26142
,,,33505
,,,2092
,,,21277
,,,20763
,,,60164
,,,136
,,,32797
,,,21102
,,,5017
,,,9535
,,,372
,,,34
,,,82601
,,,1202
,,,65137
,,,1224
,,,104025
,,,874
,,,43858
,,,194
,,,2768
,,,124
,,,33681
,,,19655
,,,69681
,,,27010
,,,260
,,,1
,,,7468
,,,16
,,,3030
,,,1304
,,,41728
,,,21092
,,,2699
,,,3664
,,,61820
,,,2727
,,,33394
,,,54
,,,44822
,,,33505
,,,3796
,,,33709
,,,23164
,,,48
,,,4439
,,,16875
,,,194
,,,34207
,,,12688
,,,15
,,,18501
,,,11516
,,,199
,,,36713
,,,1776
,,,11538
,,,133
,,,20900
,,,6344
,,,47225
,,,15150
,,,58526
,,,1326
,,,6439
,,,17768
,,,1844
,,,4209
,,,19575
,,,59861
,,,63235
,,,171
,,,8500
,,,18897
,,,28075
,,,11958
,,,3716
,,,19060
,,,46699
,,,322
,,,798
,,,194
,,,2
,,,32876
,,,22452
,,,36462
,,,6340
,,,9813
,,,22080
,,,25883
,,,41546
,,,1858
,,,42496
,,,22299
,,,11492
,,,3
,,,4035
,,,194
,,,886
,,,2377
,,,5
,,,3481
,,,1
,,,20462
,,,22926
,,,873
,,,158
,,,48
,,,2772
,,,25709
,,,2303
,,,623
,,,24941
,,,753
,,,33344
,,,3701
,,,48701
,,,42602
,,,3
,,,19948
,,,44831
,,,374
,,,6
,,,58720
,,,1678
,,,38913
,,,22158
,,,37049
,,,4062
,,,5301
,,,1
,,,32171
,,,547
,,,22691
,,,240
,,,2
,,,67362
,,,9205
,,,21012
,,,48
,,,7801
,,,2
,,,17416
,,,21006
,,,41558
,,,378
,,,16984
,,,20973
,,,33743
,,,2701
,,,4664
,,,22073
,,,120
,,,13252
,,,19228
,,,75942
,,,7778
,,,1
,,,194
,,,290
,,,14
,,,23801
,,,442655
,,,4770
,,,1
,,,22272
,,,932
,,,16985
,,,33181
,,,8168
,,,7308
,,,7315
,,,1516
,,,784
,,,19316
,,,15867
,,,2630
,,,21248
,,,2
,,,17908
,,,7308
,,,30
,,,4527
,,,2727
,,,1
,,,6721
,,,171
,,,21248
,,,9482
,,,8719
,,,20510
,,,6381
,,,1
,,,48
,,,325
,,,784
,,,141900
,,,103882
,,,1
,,,29609
,,,1
,,,1128
,,,2
,,,30089
,,,43996
,,,16545
,,,44860
,,,1
,,,15612
,,,2662
,,,13
,,,22806
,,,59461
,,,33508
,,,3638
,,,14
,,,21451
,,,21248
,,,709
,,,21248
,,,158
,,,1650
,,,9
,,,6830
,,,36588
,,,5230
,,,16
,,,103
,,,19627
,,,21248
,,,1171
,,,4770
,,,25180
,,,78604
,,,49737
,,,32080
,,,2
,,,21331
,,,1554
,,,9
,,,4977
,,,10
,,,3796
,,,155
,,,68
,,,7074
,,,8754
,,,1143
,,,20779
,,,1
,,,5867
,,,38394
,,,13
,,,21929
,,,9
,,,42593
,,,15993
,,,22195
,,,128
,,,21132
,,,17517
,,,581
,,,2
,,,18187
,,,25941
,,,15469
,,,20453
,,,158
,,,104372
,,,29656
,,,21248
,,,207
,,,1188
,,,21094
,,,33771
,,,3741
,,,2379
,,,84405
,,,5818
,,,12376
,,,8602
,,,22362
,,,4422
,,,36278
,,,759
,,,155
,,,127
,,,14587
,,,13464
,,,17840
,,,11
,,,21248
,,,75
,,,1772
,,,69815
,,,10522
,,,53646
,,,1518
,,,1508
,,,39636
,,,63697
,,,14
,,,9639
,,,75694
,,,128038
,,,1165
,,,34469
,,,21102
,,,22953
,,,6239
,,,11616
,,,7011
,,,15200
,,,46072
,,,192342
,,,21626
,,,21248
,,,13012
,,,24158
,,,48
,,,194
,,,19717
,,,75396
,,,56379
,,,20964
,,,24520
,,,20649
,,,2
,,,11293
,,,974
,,,4705
,,,29474
,,,12965
,,,3
,,,19627
,,,34987
,,,4391
,,,16
,,,45689
,,,89
,,,2642
,,,107422
,,,992
,,,2642
,,,4660
,,,291
,,,15815
,,,29052
,,,605
,,,139
,,,6673
,,,4
,,,190
,,,4676
,,,12969
,,,194
,,,1
,,,45835
,,,3
,,,6565
,,,5711
,,,3707
,,,9
,,,34272
,,,100
,,,2
,,,1463
,,,39299
,,,2
,,,3451
,,,24451
,,,21248
,,,2758
,,,11200
,,,54751
,,,30026
,,,5159
,,,930
,,,20073
,,,15913
,,,303
,,,30084
,,,1928
,,,49
,,,33526
,,,21248
,,,1
,,,669
,,,48098
,,,520
,,,194
,,,2
,,,21248
,,,36
,,,25883
,,,784
,,,19854
,,,7099
,,,30
,,,9
,,,484
,,,48
,,,373
,,,40360
,,,17024
,,,3734
,,,258006
,,,102490
,,,3371
,,,15750
,,,12962
,,,1
,,,26276
,,,6
,,,40
,,,194
,,,93
,,,856
,,,40180
,,,1
,,,158
,,,1126
,,,93947
,,,2854
,,,1916
,,,67162
,,,73561
,,,4
,,,1523
,,,1338
,,,19067
,,,47489
,,,8660
,,,46042
,,,44504
,,,3690
,,,290
,,,1
,,,59916
,,,21248
,,,20390
,,,4641
,,,4112
,,,27042
,,,3153
,,,11957
,,,2179
,,,3679
,,,21999
,,,18686
,,,57584
,,,63704
,,,158
,,,3261
,,,6369
,,,9008
,,,29467
,,,3683
,,,663
,,,6655
,,,1
,,,5
,,,28824
,,,21913
,,,33389
,,,33077
,,,27497
,,,9273
,,,54168
,,,26481
,,,6095
,,,7
,,,21296
,,,1
,,,21933
,,,42068
,,,21316
,,,21938
,,,30894
,,,9328
,,,1464
,,,72
,,,6
,,,1
,,,33506
,,,2910
,,,171
,,,48
,,,4
,,,21248
,,,787
,,,6
,,,155
,,,17930
,,,21248
,,,33106
,,,20510
,,,22953
,,,20901
,,,21248
,,,2878
,,,1
,,,9
,,,27197
,,,26096
,,,47238
,,,2
,,,21248
,,,48
,,,5
,,,1
,,,53
,,,54510
,,,31985
,,,9952
,,,14613
,,,171
,,,48
,,,20683
,,,1
,,,17952
,,,1
,,,60949
,,,3951
,,,20387
,,,723
,,,2377
,,,31355
,,,199
,,,14157
,,,27501
,,,29297
,,,20787
,,,155
,,,9
,,,3553
,,,47238
,,,3433
,,,27712
,,,225
,,,33614
,,,21929
,,,21001
,,,21248
,,,21248
,,,1
,,,32854
,,,194
,,,190
,,,1118
,,,38938
,,,48
,,,14429
,,,34469
,,,605
,,,16261
,,,32568
,,,4
,,,2
,,,12177
,,,1
,,,2
,,,12085
,,,21236
,,,21523
,,,2
,,,41783
,,,20118
,,,171
,,,15360
,,,49
,,,25760
,,,1408
,,,3
,,,16976
,,,20768
,,,128
,,,9067
,,,41922
,,,12129
,,,48
,,,30290
,,,27194
,,,53271
,,,1
,,,21630
,,,74546
,,,1108
,,,38421
,,,729
,,,6331
,,,23351
,,,4290
,,,20510
,,,1012
,,,157846
,,,650
,,,1
,,,3
,,,21102
,,,139
,,,3244
,,,4447
,,,3302
,,,4971
,,,2664
,,,3175
,,,21929
,,,1
,,,21929
,,,6842
,,,3
,,,2616
,,,31235
,,,40981
,,,1
,,,26605
,,,44390
,,,1
,,,5052
,,,59
,,,28
,,,1
,,,167
,,,3429
,,,13098
,,,2
,,,2911
,,,9964
,,,192
,,,38931
,,,3156
,,,8254
,,,1123
,,,27712
,,,54
,,,53511
,,,16176
,,,23145
,,,199
,,,4
,,,11330
,,,9720
,,,21248
,,,2
,,,21277
,,,2
,,,69880
,,,6311
,,,18247
,,,3193
,,,29031
,,,290
,,,1506
,,,12511
,,,1966
,,,33616
,,,54613
,,,48
,,,10672
,,,7401
,,,4896
,,,10490
,,,3389
,,,32677
,,,6
,,,7
,,,26647
,,,21248
,,,127
,,,195
,,,195
,,,21380
,,,21088
,,,3
,,,9169
,,,5073
,,,194
,,,11772
,,,2124
,,,8664
,,,3404
,,,34262
,,,67115
,,,42112
,,,96
,,,11889
,,,13237
,,,7433
,,,45819
,,,171
,,,3812
,,,20109
,,,12300
,,,48195
,,,20901
,,,26224
,,,13010
,,,29275
,,,33679
,,,2
,,,31953
,,,194
,,,21248
,,,4439
,,,3
,,,49861
,,,16929
,,,20921
,,,16692
,,,33545
,,,30314
,,,20995
,,,33526
,,,33106
,,,19013
,,,55858
,,,7400
,,,2692
,,,47238
,,,885
,,,51
,,,1871
,,,171
,,,4992
,,,10
,,,7504
,,,625
,,,1960
,,,33258
,,,6708
,,,5
,,,2
,,,18187
,,,1
,,,129
,,,13912
,,,32568
,,,591
,,,72658
,,,5
,,,432
,,,933
,,,12542
,,,54217
,,,1009
,,,951
,,,2619
,,,4
,,,1
,,,18794
,,,5967
,,,48
,,,33440
,,,713
,,,30084
,,,8728
,,,32225
,,,43927
,,,8779
,,,12369
,,,6081
,,,535
,,,20298
,,,22189
,,,8140
,,,137
,,,14738
,,,7055
,,,613
,,,194
,,,10
,,,19697
,,,21929
,,,10906
,,,3432
,,,34978
,,,187
,,,33440
,,,6086
,,,22497
,,,16591
,,,23206
,,,67926
,,,136020
,,,7333
,,,2791
,,,1900
,,,5973
,,,44305
,,,160124
,,,128
,,,4251
,,,23908
,,,14322
,,,10431
,,,3369
,,,1205
,,,48
,,,11650
,,,1825
,,,21248
,,,29595
,,,20318
,,,22483
,,,36779
,,,7333
,,,21056
,,,21249
,,,787
,,,26920
,,,14695
,,,19658
,,,33677
,,,31344
,,,1938
,,,26275
,,,2
,,,6650
,,,20714
,,,27136
,,,194
,,,1768
,,,1652
,,,21102
,,,21248
,,,80
,,,190
,,,6551
,,,23405
,,,63477
,,,4755
,,,663
,,,1004
,,,42818
,,,22222
,,,18150
,,,6400
,,,16184
,,,2832
,,,930
,,,33732
,,,554
,,,24621
,,,15043
,,,2
,,,86011
,,,1
,,,61018
,,,11160
,,,1115
,,,56111
,,,18059
,,,20387
,,,41343
,,,2
,,,33432
,,,13912
,,,21248
,,,557
,,,32568
,,,887
,,,28750
,,,42582
,,,48
,,,242
,,,194
,,,39233
,,,16791
,,,8752
,,,1
,,,4
,,,33960
,,,779
,,,27785
,,,474
,,,27712
,,,12131
,,,35979
,,,19627
,,,4454
,,,359
,,,43642
,,,2
,,,4466
,,,46503
,,,3
,,,576
,,,5301
,,,51608
,,,424
,,,12665
,,,100424
,,,76
,,,3741
,,,29
,,,17176
,,,12978
,,,6079
,,,20995
,,,1653
,,,1116
,,,1
,,,32709
,,,1
,,,5
,,,30538
,,,18837
,,,20914
,,,15512
,,,71449
,,,6599
,,,47315
,,,133
,,,2153
,,,10894
,,,30495
,,,1394
,,,31400
,,,50310
,,,1
,,,2218
,,,2
,,,160820
,,,15670
,,,17777
,,,6087
,,,20698
,,,37747
,,,42414
,,,1
,,,21255
,,,10786
,,,3736
,,,581
,,,21248
,,,1
,,,20387
,,,70812
,,,35550
,,,232
,,,18108
,,,1518
,,,89008
,,,16050
,,,26919
,,,1864
,,,4094
,,,25609
,,,12680
,,,1
,,,25167
,,,53566
,,,20387
,,,311
,,,29
,,,62201
,,,21876
,,,1201
,,,4440
,,,2550
,,,48
,,,2670
,,,6776
,,,535
,,,194
,,,3197
,,,916
,,,1192
,,,33677
,,,19659
,,,21929
,,,155
,,,2722
,,,22072
,,,15961
,,,2
,,,6137
,,,7320
,,,2
,,,10319
,,,5
,,,19603
,,,46605
,,,32620
,,,25057
,,,568
,,,2
,,,1
,,,14517
,,,46044
,,,56274
,,,48
,,,26332
,,,486
,,,30302
,,,13
,,,48
,,,75120
,,,55503
,,,1
,,,295
,,,31609
,,,19648
,,,10571
,,,79262
,,,18
,,,1138
,,,5866
,,,7
,,,1389
,,,6483
,,,8740
,,,66627
,,,11500
,,,2619
,,,485
,,,2950
,,,234
,,,955
,,,32679
,,,24285
,,,348
,,,3
,,,1
,,,148
,,,110254
,,,30925
,,,4872
,,,14616
,,,7308
,,,33302
,,,576
,,,31921
,,,36047
,,,226
,,,605
,,,27386
,,,33564
,,,40199
,,,75113
,,,279
,,,42112
,,,194
,,,20387
,,,86419
,,,46109
,,,28311
,,,29599
,,,605
,,,2380
,,,277
,,,33106
,,,20901
,,,21399
,,,66590
,,,49
,,,56
,,,1516
,,,63487
,,,33401
,,,11957
,,,422
,,,32568
,,,64942
,,,48
,,,48327
,,,884
,,,21248
,,,3188
,,,55179
,,,194
,,,25312
,,,1901
,,,20779
,,,6312
,,,6085
,,,5556
,,,4209
,,,14449
,,,26437
,,,21951
,,,33106
,,,21248
,,,24246
,,,24605
,,,1354
,,,48
,,,16662
,,,16470
,,,2381
,,,717
,,,4836
,,,63711
,,,3839
,,,13804
,,,48
,,,31142
,,,2046
,,,13
,,,5
,,,12703
,,,33576
,,,19
,,,3680
,,,46449
,,,122929
,,,33182
,,,45429
,,,20869
,,,2586
,,,87300
,,,75543
,,,618
,,,32723
,,,89178
,,,16358
,,,31144
,,,1289
,,,1
,,,34266
,,,21929
,,,1
,,,34673
,,,171
,,,65949
,,,20095
,,,10199
,,,1
,,,240604
,,,2739
,,,73775
,,,32689
,,,25965
,,,25
,,,43685
,,,710
,,,155
,,,623
,,,42896
,,,79695
,,,4772
,,,11178
,,,148764
,,,40357
,,,18357
,,,34
,,,32568
,,,1
,,,16176
,,,21519
,,,2093
,,,21442
,,,1963
,,,194
,,,1
,,,5647
,,,23990
,,,17
,,,3329
,,,3269
,,,2
,,,72069
,,,25054
,,,1794
,,,243
,,,5712
,,,30216
,,,15528
,,,21999
,,,29391
,,,29516
,,,15485
,,,66212
,,,75542
,,,3445
,,,2725
,,,13186
,,,817
,,,155
,,,4828
,,,2
,,,21185
,,,5
,,,13025
,,,21635
,,,21248
,,,2
,,,29331
,,,24285
,,,21248
,,,129
,,,83666
,,,6099
,,,2111
,,,6255
,,,1505
,,,33077
,,,18837
,,,42670
,,,328
,,,41
,,,863
,,,6375
,,,1
,,,9089
,,,7981
,,,13
,,,8028
,,,52366
,,,48940
,,,46086
,,,29471
,,,66218
,,,10476
,,,2768
,,,48
,,,21385
,,,11772
,,,33677
,,,236
,,,6592
,,,14631
,,,33163
,,,1
,,,2910
,,,16
,,,4014
,,,3394
,,,16931
,,,23076
,,,7497
,,,886
,,,3
,,,68715
,,,6369
,,,1516
,,,2782
,,,849
,,,37372
,,,42496
,,,34162
,,,29448
,,,20095
,,,1445
,,,876
,,,10377
,,,33835
,,,146729
,,,7423
,,,40991
,,,13237
,,,6528
,,,13203
,,,19466
,,,54898
,,,11538
,,,1
,,,2238
,,,21432
,,,155
,,,3601
,,,3
,,,2
,,,1652
,,,106210
,,,4027
,,,346
,,,127642
,,,5245
,,,21358
,,,37647
,,,33505
,,,31837
,,,199
,,,47238
,,,19
,,,63293
,,,9031
,,,21568
,,,322
,,,33677
,,,1
,,,8442
,,,19742
,,,21450
,,,10690
,,,21929
,,,8890
,,,48
,,,195
,,,21
,,,322
,,,4501
,,,1040
,,,9497
,,,10
,,,2
,,,33065
,,,21809
,,,9513
,,,579
,,,1
,,,108780
,,,144
,,,99796
,,,16984
,,,5360
,,,111677
,,,33529
,,,215
,,,33928
,,,910
,,,6480
,,,20053
,,,13
,,,410
,,,2618
,,,3
,,,175733
,,,24000
,,,923
,,,33141
,,,11973
,,,785
,,,15088
,,,15912
,,,649
,,,1
,,,5149
,,,37105
,,,12177
,,,7333
,,,32568
,,,83528
,,,6
,,,37377
,,,200810
,,,14
,,,2
,,,21442
,,,15356
,,,21248
,,,25883
,,,30768
,,,54551
,,,4
,,,2401
,,,2
,,,33506
,,,2
,,,22208
,,,3145
,,,3251
,,,9
,,,16163
,,,5
,,,10416
,,,79666
,,,27960
,,,2878
,,,38415
,,,24707
,,,26150
,,,54777
,,,56521
,,,8438
,,,33556
,,,48
,,,61729
,,,65853
,,,6750
,,,49321
,,,3347
,,,12433
,,,3171
,,,4077
,,,16477
,,,36476
,,,1818
,,,21248
,,,2
,,,26507
,,,48
,,,7313
,,,20900
,,,21929
,,,8409
,,,910
,,,3
,,,19434
,,,21324
,,,19159
,,,51046
,,,95467
,,,11957
,,,67610
,,,18004
,,,14322
,,,21248
,,,7525
,,,6674
,,,1018
,,,784
,,,884
,,,63334
,,,33529
,,,2821
,,,14
,,,1
,,,49
,,,2
,,,22473
,,,7938
,,,22483
,,,245
,,,194
,,,6081
,,,7
,,,2878
,,,1665
,,,23098
,,,800
,,,36491
,,,134
,,,5579
,,,195
,,,15489
,,,32571
,,,2653
,,,21758
,,,17774
,,,16108
,,,16380
,,,26327
,,,276
,,,14855
,,,21903
,,,1
,,,1279
,,,1516
,,,24720
,,,1402
,,,156423
,,,2
,,,27638
,,,194
,,,8266
,,,21277
,,,199
,,,96
,,,38
,,,65350
,,,20779
,,,4756
,,,7243
,,,535
,,,32440
,,,5
,,,1960
,,,76778
,,,31049
,,,21744
,,,8932
,,,98
,,,37800
,,,22072
,,,22235
,,,5723
,,,4
,,,3235
,,,21248
,,,6773
,,,11772
,,,54312
,,,472
,,,171
,,,6673
,,,5592
,,,660
,,,13
,,,21403
,,,19717
,,,988
,,,20759
,,,158
,,,2
,,,20846
,,,6584
,,,3167
,,,45338
,,,20901
,,,3547
,,,5910
,,,6568
,,,23231
,,,108
,,,4921
,,,8452
,,,11
,,,3
,,,10154
,,,28304
,,,20901
,,,7841
,,,344
,,,12228
,,,7012
,,,14748
,,,5028
,,,217
,,,5360
,,,2639
,,,933
,,,6598
,,,71591
,,,21248
,,,104264
,,,39208
,,,931
,,,17440
,,,787
,,,10
,,,134
,,,797
,,,14525
,,,10255
,,,568
,,,13406
,,,47441
,,,58532
,,,21248
,,,33220
,,,43
,,,32568
,,,6179
,,,33526
,,,33526
,,,47291
,,,322
,,,297099
,,,255
,,,3587
,,,1
,,,13696
,,,9008
,,,5647
,,,131846
,,,1548
,,,30263
,,,190
,,,30538
,,,33506
,,,1702
,,,171
,,,949
,,,118065
,,,21248
,,,47488
,,,16555
,,,48
,,,110
,,,47980
,,,68
,,,47238
,,,8596
,,,27623
,,,37333
,,,4195
,,,33529
,,,12178
,,,19479
,,,25865
,,,884
,,,4770
,,,48
,,,1201
,,,29
,,,7
,,,938
,,,1
,,,21248
,,,70463
,,,21248
,,,4642
,,,54
,,,194
,,,665
,,,36
,,,199
,,,127
,,,32899
,,,6973
,,,16
,,,7570
,,,23942
,,,16
,,,21248
,,,4641
,,,27833
,,,7203
,,,27972
,,,21766
,,,27565
,,,20216
,,,71412
,,,33560
,,,28014
,,,4061
,,,1818
,,,48
,,,22387
,,,524
,,,171
,,,29946
,,,814
,,,538
,,,21248
,,,22112
,,,19250
,,,311
,,,15677
,,,34219
,,,24805
,,,1280
,,,12316
,,,30718
,,,5626
,,,21248
,,,80763
,,,10438
,,,23501
,,,19671
,,,58714
,,,16326
,,,6861
,,,1893
,,,48
,,,21657
,,,68
,,,6121
,,,1
,,,190
,,,1
,,,21248
,,,12364
,,,39338
,,,7
,,,22100
,,,322
,,,945
,,,130
,,,148636
,,,46504
,,,194
,,,1
,,,518
,,,12
,,,28052
,,,1385
,,,31
,,,21751
,,,44770
,,,7398
,,,20434
,,,18
,,,21929
,,,292
,,,6426
,,,29374
,,,4
,,,311
,,,171
,,,16632
,,,923
,,,16961
,,,21929
,,,6085
,,,568
,,,59
,,,10
,,,2797
,,,39089
,,,5301
,,,19370
,,,32168
,,,32206
,,,33677
,,,5150
,,,55146
,,,27829
,,,7371
,,,5
,,,568
,,,17914
,,,29808
,,,623
,,,22625
,,,132
,,,75418
,,,6221
,,,454
,,,924
,,,143
,,,27669
,,,36847
,,,17851
,,,19539
,,,69498
,,,33249
,,,31823
,,,2
,,,39963
,,,4870
,,,20268
,,,85371
,,,143
,,,932
,,,2
,,,2571
,,,5647
,,,73
,,,5
,,,13229
,,,13294
,,,48
,,,7313
,,,6
,,,1
,,,33526
,,,5452
,,,21248
,,,12
,,,32181
,,,1199
,,,48
,,,265048
,,,898
,,,10414
,,,20921
,,,673
,,,6592
,,,25
,,,171
,,,2280
,,,931
,,,12889
,,,33106
,,,21277
,,,1389
,,,11
,,,1
,,,2019
,,,30521
,,,18687
,,,33301
,,,30703
,,,5
,,,2244
,,,13813
,,,27738
,,,1
,,,34758
,,,8
,,,2574
,,,7
,,,14192
,,,3680
,,,20224
,,,57126
,,,15912
,,,25
,,,4432
,,,32568
,,,1
,,,18291
,,,4280
,,,120020
,,,622
,,,5522
,,,879
,,,3876
,,,790
,,,322
,,,27901
,,,49
,,,6473
,,,20780
,,,7363
,,,23765
,,,171
,,,529
,,,535
,,,6085
,,,128
,,,4645
,,,19120
,,,921
,,,3
,,,51
,,,884
,,,256
,,,54
,,,16724
,,,7446
,,,1045
,,,3861
,,,21405
,,,195
,,,15670
,,,59556
,,,15972
,,,29765
,,,19540
,,,171
,,,18170
,,,357
,,,19031
,,,858
,,,25387
,,,25883
,,,48
,,,74236
,,,28
,,,7308
,,,621
,,,616
,,,1
,,,3
,,,9
,,,32568
,,,74667
,,,30
,,,11059
,,,20621
,,,250
,,,48
,,,52828
,,,25079
,,,19846
,,,15220
,,,46908
,,,41310
,,,2149
,,,6
,,,8
,,,3036
,,,6505
,,,22202
,,,14913
,,,5369
,,,2681
,,,21248
,,,29131
,,,1
,,,3
,,,1171
,,,13
,,,13463
,,,3436
,,,21248
,,,97846
,,,9722
,,,20809
,,,12060
,,,15700
,,,48
,,,34715
,,,75
,,,1211
,,,5959
,,,968
,,,14212
,,,168
,,,12165
,,,47801
,,,32667
,,,15683
,,,43475
,,,9
,,,33651
,,,33106
,,,7308
,,,4
,,,6385
,,,1
,,,29376
,,,21938
,,,21673
,,,20715
,,,33835
,,,22790
,,,38410
,,,17993
,,,38412
,,,130
,,,88729
,,,21248
,,,51852
,,,6709
,,,3038
,,,7
,,,43986
,,,903
,,,21248
,,,7828
,,,14378
,,,32
,,,36924
,,,582
,,,48701
,,,2976
,,,7214
,,,32328
,,,48933
,,,21362
,,,69988
,,,17121
,,,1473
,,,4
,,,1
,,,21248
,,,3
,,,155
,,,10
,,,43284
,,,7653
,,,19
,,,34
,,,6065
,,,50
,,,4321
,,,29686
,,,1
,,,17823
,,,20712
,,,20387
,,,14801
,,,47938
,,,8254
,,,32568
,,,7923
,,,20
,,,113303
,,,4171
,,,9610
,,,9939
,,,33526
,,,46815
,,,159
,,,18702
,,,37714
,,,32689
,,,2413
,,,2492
,,,10686
,,,1145
,,,1
,,,65935
,,,40663
,,,23033
,,,21248
,,,11117
,,,194
,,,24657
,,,74070
,,,1
,,,171
,,,4542
,,,10799
,,,15655
,,,51768
,,,20759
,,,50960
,,,41652
,,,4
,,,20095
,,,18762
,,,11
,,,12805
,,,22215
,,,22411
,,,884
,,,1086
,,,5294
,,,122
,,,95166
,,,18783
,,,6215
,,,342
,,,14913
,,,22047
,,,6537
,,,21253
,,,5
,,,80007
,,,3
,,,1657
,,,4536
,,,14854
,,,32586
,,,1
,,,524
,,,12638
,,,156
,,,7079
,,,930
,,,48
,,,21248
,,,24605
,,,102444
,,,929
,,,29088
,,,47238
,,,21207
,,,18094
,,,21129
,,,5866
,,,4415
,,,6966
,,,484
,,,543
,,,14113
,,,3197
,,,3615
,,,2
,,,27610
,,,33831
,,,6341
,,,75831
,,,8680
,,,35783
,,,44
,,,1532
,,,606
,,,33612
,,,21248
,,,1
,,,33239
,,,106511
,,,46233
,,,12836
,,,33677
,,,4881
,,,47238
,,,2
,,,77523
,,,21929
,,,7105
,,,9
,,,34119
,,,29
,,,75824
,,,18278
,,,38380
,,,194
,,,33182
,,,38509
,,,1
,,,10847
,,,13737
,,,29009
,,,46044
,,,25222
,,,46426
,,,11507
,,,1
,,,26155
,,,171
,,,4307
,,,15912
,,,242
,,,17241
,,,2536
,,,3
,,,67434
,,,6
,,,22
,,,35038
,,,5647
,,,21248
,,,32936
,,,15031
,,,732
,,,20784
,,,194
,,,57096
,,,48
,,,21248
,,,3472
,,,1
,,,75691
,,,10720
,,,2438
,,,892
,,,9
,,,19013
,,,17854
,,,12
,,,8418
,,,14743
,,,67462
,,,20901
,,,36838
,,,987
,,,28059
,,,22456
,,,20335
,,,9082
,,,6632
,,,51712
,,,7308
,,,15870
,,,48
,,,148
,,,5194
,,,21239
,,,158
,,,13036
,,,21442
,,,1062
,,,33677
,,,9774
,,,2512
,,,20901
,,,80715
,,,3525
,,,5361
,,,1632
,,,33677
,,,13840
,,,127
,,,10554
,,,150
,,,10146
,,,1755
,,,29984
,,,2111
,,,41075
,,,45920
,,,19191
,,,27752
,,,6236
,,,38476
,,,24523
,,,6671
,,,37479
,,,14
,,,38135
,,,4
,,,22124
,,,46900
,,,1
,,,14302
,,,784
,,,984
,,,34280
,,,21277
,,,2
,,,33099
,,,7308
,,,21129
,,,8056
,,,155
,,,3790
,,,803
,,,7091
,,,33929
,,,3329
,,,11316
,,,9487
,,,36629
,,,24912
,,,21248
,,,56458
,,,967
,,,48
,,,5
,,,30411
,,,48420
,,,48
,,,1977
,,,1625
,,,1442
,,,1
,,,938
,,,52
,,,199
,,,1516
,,,33301
,,,1
,,,13980
,,,171
,,,942
,,,63712
,,,2084
,,,40630
,,,16
,,,67381
,,,33472
,,,36113
,,,5
,,,1511
,,,23216
,,,557
,,,2139
,,,2213
,,,21420
,,,6291
,,,59
,,,10
,,,25667
,,,33526
,,,14322
,,,64411
,,,24364
,,,21162
,,,6513
,,,48
,,,187779
,,,34428
,,,22373
,,,784
,,,32677
,,,1288
,,,968
,,,40879
,,,4495
,,,1
,,,538
,,,21248
,,,21248
,,,33101
,,,18810
,,,13795
,,,2618
,,,1545
,,,30900
,,,21248
,,,1
,,,4770
,,,21248
,,,2712
,,,26647
,,,31063
,,,4208
,,,33106
,,,2069
,,,63121
,,,21277
,,,16978
,,,33099
,,,88512
,,,25612
,,,7320
,,,18871
,,,29420
,,,21036
,,,6785
,,,21248
,,,568
,,,8154
,,,290
,,,21108
,,,127
,,,495
,,,722
,,,22054
,,,21248
,,,21718
,,,25544
,,,29595
,,,9330
,,,75696
,,,2766
,,,51803
,,,7
,,,19802
,,,2
,,,3005
,,,30539
,,,8864
,,,66074
,,,484
,,,929
,,,23206
,,,33648
,,,16859
,,,534
,,,33506
,,,2039
,,,7
,,,92144
,,,6875
,,,21248
,,,2414
,,,1
,,,538
,,,48134
,,,1650
,,,2100
,,,47238
,,,37134
,,,707
,,,20923
,,,4621
