q_license,so_license,amount
EPLv1,EPLv1,1
AGPL3,none,1
Apache-2,none,41
BSD3,none,3
CDDL/GPLv2,none,1
EPLv1,none,7
GPLv3+,none,2
LGPL*,none,24
none,none,5
