SD,SE,ND,NE
4.8780488,11.11111111,39.13043478,5
15.9090909,33.33333333,23.91304348,23.52941176
26.4705882,0.99009901,16,13.33333333
35,38.46153846,19.04761905,14.81481481
33.3333333,33.33333333,10.95890411,4.807692308
27.7777778,30.76923077,11.11111111,14.28571429
21.7391304,7.407407407,10,4.04040404
34.4827586,22.22222222,3.8647343,38.46153846
42.8571429,57.14285714,26.66666667,39.13043478
72.7272727,22.22222222,75,3.125
27.2727273,41.17647059,6.779661017,8.333333333
46.6666667,40,16.32653061,50
77.7777778,62.5,7.01754386,15.625
3.4013605,57.14285714,16.43835616,20.83333333
23.5955056,25,20.45454545,7.594936709
12.195122,50,14.1025641,9.090909091
28.5714286,5.882352941,7.258064516,3.278688525
27.2727273,57.14285714,36.36363636,57.14285714
7.3684211,62.5,17.77777778,23.52941176
37.5,8.510638298,35.48387097,15.38461538
30.3030303,29.41176471,66.66666667,33.33333333
62.5,50,18.6440678,6.451612903
25,11.62790698,21.95121951,46.15384615
9.8360656,41.66666667,25,27.27272727
80,7.692307692,35.29411765,29.41176471
14.0350877,27.77777778,33.33333333,10
6.6037736,55.55555556,4.081632653,9.433962264
10.7692308,26.66666667,21.05263158,6.060606061
11.4754098,26.66666667,13.1147541,25
75,71.42857143,12.5,13.33333333
37.037037,31.57894737,9.090909091,1.162790698
46.6666667,36.36363636,11.5942029,18
6.8493151,25,19.04761905,40.90909091
12.7659574,13.70967742,2.867383513,40
4.0322581,13.33333333,13.79310345,14.28571429
50,41.66666667,30.64516129,29.62962963
10.7142857,26.66666667,23.91304348,36.36363636
3.9325843,41.66666667,2.972972973,15.38461538
43.75,3.921568627,3.238866397,28.57142857
30.4347826,30,23.52941176,20.58823529
13.1147541,15.625,15.68627451,20
12.5,12.5,42.10526316,6.557377049
50,33.33333333,8.888888889,4.166666667
3.960396,26.31578947,16.66666667,25
14.2857143,13.33333333,75,20
5.6,12.90322581,3.144654088,20.58823529
40,23.52941176,18.60465116,50
40,12.12121212,17.77777778,55.55555556
62.5,36.36363636,12.90322581,40
42.8571429,42.85714286,26.82926829,14.28571429
7.2289157,60,11.94029851,3.636363636
4.4444444,50,16.66666667,35.29411765
28.5714286,28.57142857,8.771929825,23.52941176
5.8252427,12.5,11.94029851,27.77777778
5.2083333,50,27.5862069,3.424657534
3.5714286,50,40,58.33333333
8.6419753,40,33.33333333,35.71428571
26.0869565,4.301075269,20,10.20408163
7.4074074,8.510638298,34.48275862,5.208333333
1.9354839,33.33333333,39.13043478,5.797101449
12.8205128,33.33333333,5.154639175,22.22222222
22.2222222,71.42857143,15.09433962,57.14285714
34.6153846,36.36363636,27.65957447,40
5.2083333,10.71428571,73.33333333,46.15384615
33.3333333,71.42857143,72.72727273,3.636363636
5.4945055,26.08695652,15.78947368,9.756097561
5.3571429,6.349206349,29.26829268,5.970149254
85.7142857,10,17.0212766,4.444444444
4.4247788,12.5,42.85714286,6.756756757
4.3103448,7.894736842,37.03703704,50
8,5.747126437,47.36842105,8.955223881
70,71.42857143,40.90909091,6.25
87.5,19.04761905,53.33333333,9.090909091
22.7272727,10.25641026,27.27272727,24.24242424
21.7391304,28.57142857,17.0212766,30
12.244898,13.15789474,51.72413793,57.14285714
12,23.52941176,10,2.941176471
33.3333333,35.29411765,14.81481481,40
22.7272727,6.349206349,13.0952381,9.090909091
11.2903226,13.95348837,13.33333333,2.127659574
7.7777778,45.45454545,66.66666667,8.450704225
13.8888889,8.510638298,16.32653061,2.816901408
6.5693431,55.55555556,11.11111111,17.14285714
83.3333333,7.462686567,13.55932203,21.62162162
34.7826087,66.66666667,38.0952381,26.66666667
21.4285714,50,14.28571429,9.756097561
58.3333333,36.36363636,23.52941176,18.18181818
9.8039216,31.57894737,18.60465116,17.85714286
76.9230769,3.96039604,5.970149254,16
50,57.14285714,9.87654321,11.29032258
5.1020408,50,25.80645161,14.28571429
8.6419753,13.79310345,11.95652174,19.35483871
29.4117647,40,23.07692308,36.36363636
20,29.41176471,56.25,54.54545455
5.0724638,33.33333333,40.74074074,10.90909091
18.6046512,11.32075472,10.55276382,7.865168539
41.1764706,19.04761905,7.079646018,8.620689655
8.75,4.166666667,10.47619048,57.14285714
21.875,6.896551724,23.07692308,63.63636364
41.1764706,25,25,8.695652174
24.3902439,3.472222222,12.5,4.395604396
72.7272727,12.24489796,57.69230769,66.66666667
3.8461538,6.666666667,11.39240506,19.04761905
62.5,41.66666667,66.66666667,11.76470588
15.2173913,40,22.85714286,42.85714286
11.627907,9.090909091,21.62162162,5.714285714
30,28.57142857,72.72727273,11.42857143
31.8181818,10.41666667,28.57142857,41.17647059
3.968254,6.944444444,19.04761905,8.695652174
10.7142857,35.71428571,6.766917293,31.25
92.6829268,3.846153846,25.49019608,8.823529412
85.7142857,50,18.18181818,10.86956522
25,30,52.63157895,14.81481481
70,27.77777778,56.25,63.63636364
53.8461538,33.33333333,28.57142857,13.51351351
7.0707071,20,19.51219512,25
2.4154589,4.081632653,4.838709677,2.836879433
11.2903226,12.5,41.66666667,7.01754386
6.5217391,3.80952381,18.60465116,19.04761905
54.5454545,33.33333333,52.94117647,42.10526316
7.8651685,55.55555556,18.6440678,25.92592593
29.1666667,7.272727273,25,80
8.6206897,10,8.888888889,57.14285714
7.0422535,10.71428571,16.52173913,41.17647059
66.6666667,18.18181818,21.62162162,27.77777778
33.3333333,22.22222222,10.75268817,4.054054054
12.5,57.14285714,6.896551724,14.28571429
11.6666667,22.72727273,13.25301205,6.666666667
13.7254902,75,56,70
8.6206897,25,12.12121212,20
18.4210526,28.57142857,16.98113208,16.66666667
35.7142857,66.66666667,20,8.888888889
17.0731707,66.66666667,12.6984127,18.18181818
54.5454545,29.41176471,7.03125,6.557377049
35,29.41176471,72.72727273,3.603603604
6.4935065,33.33333333,23.52941176,16
50,9.302325581,5.797101449,58.33333333
10.6382979,13.04347826,12.30769231,28.57142857
6.1946903,33.33333333,38.46153846,4.938271605
17.2413793,16.66666667,34.7826087,57.14285714
17.5438596,7.5,72.72727273,7.272727273
93.3333333,12.90322581,27.27272727,5.952380952
5.1546392,10.90909091,27.27272727,8.928571429
60,4.494382022,50,27.5862069
40,7.692307692,34.09090909,25
7.8651685,17.39130435,19.51219512,18.18181818
2.7322404,45.45454545,13.58024691,19.44444444
13.7254902,4,10.34482759,42.85714286
5.4945055,41.66666667,16.32653061,12.96296296
50,5.172413793,34.09090909,17.94871795
36.3636364,18.18181818,78.57142857,13.79310345
4.2424242,18.18181818,7.317073171,2.919708029
11.7647059,21.05263158,25.92592593,28.57142857
2.4691358,4.166666667,11.70212766,38.0952381
50,47.05882353,9.302325581,41.66666667
7.6923077,12.19512195,7.482993197,1.152737752
17.1428571,8.888888889,11.42857143,4.705882353
25,50,10.57692308,28.57142857
77.7777778,62.5,19.51219512,13.95348837
53.8461538,24,20.51282051,31.57894737
83.3333333,35.29411765,15.68627451,30
31.8181818,19.04761905,72.72727273,8.108108108
5.0420168,12.12121212,16.32653061,35.71428571
35.2941176,58.33333333,9.638554217,6.25
19.4444444,11.76470588,4.90797546,66.66666667
8.1967213,12.5,14.54545455,7.142857143
17.8571429,11.32075472,18.36734694,12.90322581
33.3333333,12.12121212,13.1147541,3.174603175
11.627907,18.18181818,16.36363636,34.7826087
15.2173913,33.33333333,21.21212121,9.090909091
46.6666667,21.05263158,31.57894737,72.72727273
29.6296296,8.888888889,19.04761905,8.24742268
75,40,10.81081081,66.66666667
40,13.79310345,25.71428571,20.83333333
52.9411765,30.76923077,28.94736842,35
45.4545455,26.31578947,66.66666667,3.603603604
83.3333333,31.81818182,21.95121951,8.695652174
22.8571429,31.25,12.32876712,13.33333333
15.1515152,38.46153846,29.62962963,12.24489796
26.9230769,15.38461538,28.125,2.06185567
3.4722222,11.9047619,21.95121951,17.24137931
31.25,44.44444444,31.91489362,10.81081081
20,28.57142857,25.58139535,50
16.2790698,54.54545455,66.66666667,1.97044335
19.4444444,23.80952381,8,9.302325581
17.6470588,7.594936709,27.5,5.797101449
11.3924051,16,20,35.71428571
72.7272727,36.36363636,16.32653061,30.76923077
4.3859649,31.25,38.46153846,2.247191011
61.5384615,55.55555556,14.28571429,25
11.4754098,33.33333333,17.0212766,25
31.25,3.603603604,23.40425532,60
9.4736842,17.39130435,16,5.714285714
22.5806452,38.46153846,13.04347826,10
82.3529412,12.12121212,16.66666667,53.33333333
3.9408867,35.71428571,5,20
7.8125,18.18181818,75,26.31578947
26.9230769,2.702702703,9.638554217,13.79310345
52.6315789,80,75,18.75
18.75,36.36363636,80,3.846153846
10.9375,57.14285714,10.12658228,20
9.7222222,14.28571429,16.86746988,3.007518797
1.8575851,57.14285714,53.33333333,40.90909091
3.3112583,13.04347826,42.85714286,17.39130435
8.4745763,7.142857143,12.98701299,36.84210526
35,20,40,28.57142857
19.2307692,7.8125,53.84615385,10.81081081
15.5555556,18.18181818,25,38.46153846
50,38.46153846,12.67605634,70
36.8421053,9.803921569,24.48979592,3.603603604
