so_license,q_license,amount
None,None,18
Apache2,Apache2,0
EPLv1,EPLv1,14
None,CC BY 3.0,0
None,Apache2,41
None,BSD/BSD3,0
None,CDDL/GPLv2,0
None,EPLv1,0
None,GPLv2/2+/3+,5
None,LGPLv2.1+/3+,18
None,AGPLv3/3+,0
None,MPLv1_1,0
None,spdxBSD3,0
None,Unidentifiable,0
Proprietary,None,0
BSD3,GPLv2+,0
