so_license,q_license,amount
EPLv1,EPLv1,1
none,AGPL3,1
none,Apache-2,41
none,BSD3,3
none,CDDL/GPLv2,1
none,EPLv1,7
none,GPLv3+,2
none,LGPL*,24
none,none,5
