fragment, used, inprojects, sloc, usedsloc, percent,
11083080_0.java,344544,8319,37,4,0.108108108,
23366289_1.java,344544,8319,37,4,0.108108108,
12463954_0.java,344057,8169,76,4,0.052631579,
4107431_4.java,343519,5009,82,4,0.048780488,
21146003_2.java,343259,4999,23,4,0.173913043,
20643971_1.java,342758,4941,36,4,0.111111111,
23485641_1.java,342758,4941,302,4,0.013245033,
23798316_0.java,342472,4868,110,4,0.036363636,
10402768_1.java,342457,7993,42,4,0.095238095,
24695358_1.java,342440,4873,19,4,0.210526316,
8312630_1.java,342409,4859,45,4,0.088888889,
22308499_0.java,342362,4853,159,4,0.025157233,
19448320_1.java,336677,8155,39,4,0.102564103,
25147974_0.java,336677,8155,59,4,0.06779661,
22212300_1.java,334234,7882,82,4,0.048780488,
17311459_0.java,330618,5906,155,4,0.025806452,
24344967_0.java,324860,6627,286,4,0.013986014,
21786837_0.java,322654,4039,50,6,0.12,
23540649_1.java,316792,3547,42,6,0.142857143,
16220180_1.java,315374,3492,44,6,0.136363636,
21090374_0.java,313775,5950,153,6,0.039215686,
14480201_0.java,313126,3351,55,6,0.109090909,
11381941_0.java,312279,3302,97,6,0.06185567,
8329044_0.java,312142,3259,74,6,0.081081081,
13678665_1.java,307743,5863,89,4,0.04494382,
9984712_0.java,298407,1563,134,4,0.029850746,
3664108_0.java,295428,3344,90,6,0.066666667,
21689595_0.java,295064,4178,51,4,0.078431373,
13180225_1.java,291750,4086,107,4,0.037383178,
20209952_0.java,285833,3896,74,6,0.081081081,
8855076_1.java,284471,5658,60,4,0.066666667,
5972358_0.java,282023,5265,138,4,0.028985507,
9317114_0.java,280943,3729,47,6,0.127659574,
5432641_0.java,279219,8479,214,6,0.028037383,
24620470_0.java,277407,5486,226,4,0.017699115,
2713062_0.java,277331,5555,136,4,0.029411765,
22181142_0.java,277088,5212,33,4,0.121212121,
16582096_1.java,277002,5305,106,4,0.037735849,
16580569_0.java,277002,5305,102,4,0.039215686,
20701862_0.java,276990,5300,16,4,0.25,
23147622_1.java,276990,5300,12,4,0.333333333,
15210349_0.java,276990,5300,12,4,0.333333333,
16377070_2.java,276791,5359,147,4,0.027210884,
20995374_0.java,276213,5215,79,4,0.050632911,
24683695_1.java,275099,5013,110,4,0.036363636,
21022670_0.java,274818,5004,151,4,0.026490066,
14638390_2.java,274811,5010,75,4,0.053333333,
13969275_0.java,274619,5043,26,4,0.153846154,
6803155_0.java,274609,4958,77,4,0.051948052,
6534705_1.java,274366,4945,129,4,0.031007752,
23414081_0.java,274180,4918,62,4,0.064516129,
9449331_0.java,274163,4909,20,4,0.2,
15475951_0.java,274138,4971,22,4,0.181818182,
21834292_0.java,274095,4944,181,4,0.022099448,
20778585_0.java,273756,4868,173,4,0.023121387,
20189901_3.java,273699,4865,22,4,0.181818182,
18098322_0.java,273684,4851,21,5,0.238095238,
8343726_0.java,273684,4851,15,4,0.266666667,
20968539_2.java,273614,3639,56,6,0.107142857,
10257747_0.java,273493,3594,294,6,0.020408163,
12852465_0.java,263102,844,89,4,0.04494382,
14703104_0.java,260656,5521,56,6,0.107142857,
25033853_0.java,257036,8948,174,6,0.034482759,
15458451_0.java,254814,13348,418,5,0.011961722,
24206165_1.java,251731,5660,263,4,0.015209125,
22719233_0.java,249879,5390,69,4,0.057971014,
14636363_1.java,247775,5420,130,6,0.046153846,
5212004_0.java,246574,5593,78,6,0.076923077,
21645761_1.java,246574,5593,43,6,0.139534884,
23286787_0.java,246330,5017,79,4,0.050632911,
23145215_1.java,245838,5633,36,4,0.111111111,
16789453_0.java,245475,9044,160,4,0.025,
11481112_0.java,245465,5505,39,6,0.153846154,
12279998_4.java,245097,4932,36,4,0.111111111,
22403254_0.java,243206,3766,39,6,0.153846154,
13136224_1.java,242813,3961,36,6,0.166666667,
2342859_2.java,241387,7821,69,6,0.086956522,
20189952_0.java,240956,7557,70,4,0.057142857,
9059899_1.java,239863,8206,60,6,0.1,
18797931_0.java,238287,4959,46,6,0.130434783,
24988312_0.java,235103,5809,76,4,0.052631579,
5232278_0.java,234641,6078,67,4,0.059701493,
6168051_0.java,233955,5692,91,5,0.054945055,
9676881_0.java,233313,5605,73,4,0.054794521,
20058513_0.java,233235,5095,48,6,0.125,
7828419_0.java,233212,5084,93,6,0.064516129,
15279515_0.java,233158,5078,35,6,0.171428571,
3218775_0.java,232558,5175,52,6,0.115384615,
24608243_1.java,231801,4943,30,6,0.2,
8663700_0.java,231801,4943,30,6,0.2,
3381861_0.java,231801,4943,30,6,0.2,
11937204_3.java,231801,4943,31,6,0.193548387,
23005658_2.java,231801,4943,29,6,0.206896552,
22600739_0.java,231801,4943,68,6,0.088235294,
5835595_1.java,231801,4943,30,6,0.2,
