fragment, used, inprojects, sloc, usedsloc, percent
12554799_0.java,1,1,31,5,0.16129032258064516
14037419_1.java,22,9,65,5,0.07692307692307693
23872326_0.java,135,110,27,5,0.18518518518518517
12329797_0.java,8,8,24,5,0.20833333333333334
6346715_0.java,2,2,103,5,0.04854368932038835
12478946_0.java,39,34,38,4,0.10526315789473684
8273148_1.java,369,105,120,5,0.041666666666666664
19026912_0.java,74209,4967,107,4,0.037383177570093455
22014363_0.java,32,3,25,4,0.16
2631717_0.java,15,15,22,5,0.22727272727272727
3187802_0.java,39,26,28,4,0.14285714285714285
25477168_0.java,1,1,21,6,0.2857142857142857
13329885_0.java,90604,4601,117,4,0.03418803418803419
3695214_2.java,4,3,28,5,0.17857142857142858
4524594_0.java,1,1,15,4,0.26666666666666666
13556135_0.java,70,10,46,4,0.08695652173913043
11261116_0.java,1,1,21,5,0.23809523809523808
9401207_0.java,133349,3346,30,6,0.2
9915047_0.java,354,354,13,5,0.38461538461538464
18448986_0.java,106,48,54,4,0.07407407407407407
24347690_0.java,1,1,11,4,0.36363636363636365
24030779_0.java,222,53,20,4,0.2
15705403_1.java,3,3,16,4,0.25
12155733_0.java,19769,4880,39,8,0.20512820512820512
10914316_0.java,14,9,45,5,0.1111111111111111
13553547_0.java,1,1,15,6,0.4
17318387_0.java,222,53,13,4,0.3076923076923077
11405223_0.java,7,4,8,4,0.5
11875528_0.java,2,1,67,7,0.1044776119402985
21294522_0.java,255,221,19,4,0.21052631578947367
2019374_0.java,5,4,10,5,0.5
21059828_0.java,8714,929,9,4,0.4444444444444444
15494702_0.java,4,4,34,8,0.23529411764705882
8006808_0.java,631,294,25,5,0.2
6118902_0.java,23,14,73,5,0.0684931506849315
16142485_0.java,321,51,210,6,0.02857142857142857
14416243_1.java,431,419,10,5,0.5
1946311_0.java,107,81,21,5,0.23809523809523808
342016_0.java,9,9,18,4,0.2222222222222222
23963873_0.java,23,22,14,5,0.35714285714285715
13483415_1.java,116,111,9,5,0.5555555555555556
22707351_0.java,62,32,39,4,0.10256410256410256
12298007_0.java,3,3,20,4,0.2
24851696_0.java,56,23,13,4,0.3076923076923077
15996626_0.java,46,43,22,4,0.18181818181818182
16074336_0.java,2,1,53,4,0.07547169811320754
24444791_0.java,156203,3976,28,4,0.14285714285714285
14159251_0.java,1,1,38,4,0.10526315789473684
2598022_0.java,2,1,9,6,0.6666666666666666
2983691_2.java,66,46,14,6,0.42857142857142855
22073180_0.java,3861,827,50,4,0.08
20772219_1.java,25314,5639,23,4,0.17391304347826086
14694062_0.java,2,2,42,4,0.09523809523809523
24536236_0.java,1,1,24,4,0.16666666666666666
21323553_0.java,93,78,22,5,0.22727272727272727
8919035_1.java,1,1,12,5,0.4166666666666667
20128606_0.java,376,254,118,5,0.0423728813559322
17236321_1.java,79,69,26,6,0.23076923076923078
23171322_1.java,3,3,8,4,0.5
23829138_1.java,240,123,19,5,0.2631578947368421
8289516_2.java,1,1,36,4,0.1111111111111111
23853673_2.java,4,4,14,5,0.35714285714285715
17730325_0.java,2483,2026,21,4,0.19047619047619047
18146676_1.java,183,182,7,5,0.7142857142857143
22148267_0.java,2,2,11,6,0.5454545454545454
4889280_1.java,563,229,15,5,0.3333333333333333
24279173_1.java,2,2,7,4,0.5714285714285714
5342876_0.java,8,7,18,4,0.2222222222222222
9722647_0.java,23,14,29,4,0.13793103448275862
20333305_0.java,27,21,69,6,0.08695652173913043
24211268_0.java,2,2,20,5,0.25
2779635_1.java,1,1,8,4,0.5
22124868_0.java,467,172,28,5,0.17857142857142858
14176961_1.java,11,7,14,4,0.2857142857142857
2328204_2.java,69,52,153,5,0.032679738562091505
942990_1.java,1116,968,11,4,0.36363636363636365
12239715_1.java,22,21,34,8,0.23529411764705882
21435793_2.java,2,2,9,5,0.5555555555555556
1132465_0.java,1,1,63,6,0.09523809523809523
22302393_0.java,1,1,30,4,0.13333333333333333
5668974_1.java,3,3,29,4,0.13793103448275862
14117773_0.java,71697,719,88,4,0.045454545454545456
13886605_0.java,55,54,17,5,0.29411764705882354
15216070_1.java,14,6,9,4,0.4444444444444444
16626186_0.java,1,1,35,6,0.17142857142857143
14303076_0.java,340,151,18,5,0.2777777777777778
152348_0.java,34,22,22,5,0.22727272727272727
18253088_0.java,134,121,16,5,0.3125
9630723_0.java,258,132,10,5,0.5
9064601_0.java,1065,966,29,4,0.13793103448275862
15670313_1.java,21,18,9,5,0.5555555555555556
2914565_1.java,2290,419,24,4,0.16666666666666666
21734600_0.java,213109,5418,72,4,0.05555555555555555
5953343_0.java,8,6,135,7,0.05185185185185185
19431676_1.java,1378,466,23,6,0.2608695652173913
22068136_2.java,3,3,19,4,0.21052631578947367
18333073_1.java,149,139,92,6,0.06521739130434782
22326224_0.java,19762,4863,53,4,0.07547169811320754
18193838_0.java,2453,1701,11,6,0.5454545454545454
6441513_0.java,58869,6026,97,4,0.041237113402061855
13737244_4.java,258,132,26,5,0.19230769230769232
25186926_1.java,261,83,27,5,0.18518518518518517
8113522_0.java,9,9,16,4,0.25
6078858_0.java,487,304,32,4,0.125
4161300_0.java,11,11,17,6,0.35294117647058826
24412186_0.java,1,1,22,9,0.4090909090909091
20981084_0.java,2260,171,106,4,0.03773584905660377
6188992_0.java,4,4,30,4,0.13333333333333333
19870285_0.java,6,3,12,4,0.3333333333333333
7003249_0.java,1,1,7,5,0.7142857142857143
