fragment, used, inprojects, sloc, usedsloc, percent
25491400_0.java,5,4,56,5,0.08928571428571429
12299832_0.java,169,151,20,6,0.3
8659189_0.java,3,3,17,4,0.23529411764705882
21497448_0.java,9065774,2859,284,4,0.014084507042253521
8765342_0.java,5223,373,41,5,0.12195121951219512
7828419_0.java,1616748,7069,93,5,0.053763440860215055
12103779_0.java,2,2,12,4,0.3333333333333333
11080122_0.java,4,1,26,5,0.19230769230769232
23415555_0.java,42,22,35,4,0.11428571428571428
22713721_0.java,2,2,13,4,0.3076923076923077
9226708_1.java,38509,3349,31,6,0.1935483870967742
2761888_0.java,57,34,16,4,0.25
11114284_0.java,55,50,40,4,0.1
14177122_0.java,1,1,14,5,0.35714285714285715
9233323_0.java,5,4,12,4,0.3333333333333333
21436873_0.java,92731,4858,34,4,0.11764705882352941
22543165_0.java,2,2,14,4,0.2857142857142857
17156705_0.java,46,43,18,4,0.2222222222222222
4107431_3.java,3,3,9,5,0.5555555555555556
11151442_2.java,46,31,28,4,0.14285714285714285
17247969_0.java,4,4,71,5,0.07042253521126761
10155466_0.java,19,16,21,4,0.19047619047619047
15739387_0.java,2,2,12,4,0.3333333333333333
3290816_2.java,1,1,34,6,0.17647058823529413
21818931_0.java,33,30,62,4,0.06451612903225806
15328399_0.java,14,13,92,4,0.043478260869565216
1329939_0.java,63,41,11,6,0.5454545454545454
11405151_0.java,697,461,37,5,0.13513513513513514
5737384_0.java,206,185,60,5,0.08333333333333333
4483460_0.java,177,143,10,5,0.5
20646237_0.java,1436,1369,6,4,0.6666666666666666
2622935_0.java,7,7,47,5,0.10638297872340426
15099260_0.java,2657,967,9,4,0.4444444444444444
687574_0.java,1,1,9,4,0.4444444444444444
24217085_2.java,756,449,14,6,0.42857142857142855
20930420_2.java,11,10,20,6,0.3
25561128_2.java,8,8,15,5,0.3333333333333333
15454842_0.java,3015,1254,128,4,0.03125
19784419_0.java,136,32,13,5,0.38461538461538464
