fragment, used, inprojects, sloc, usedsloc, percent
13173059_0.java,155,77,16,7,0.4375
25491400_0.java,4,3,56,5,0.08928571428571429
12299832_0.java,214,187,20,6,0.3
21497448_0.java,5278408,2366,284,4,0.014084507042253521
8765342_0.java,4938,356,41,4,0.0975609756097561
23641946_1.java,1,1,6,4,0.6666666666666666
7828419_0.java,922742,6099,93,6,0.06451612903225806
22750426_0.java,24,4,8,4,0.5
11080122_0.java,2,2,26,5,0.19230769230769232
23415555_0.java,60,31,35,4,0.11428571428571428
22713721_0.java,3,3,13,4,0.3076923076923077
9226708_1.java,33567,3193,31,6,0.1935483870967742
2761888_0.java,19,19,16,4,0.25
10618150_0.java,2,2,23,4,0.17391304347826086
11114284_0.java,62,53,40,4,0.1
2921744_0.java,6,1,28,7,0.25
21436873_0.java,77981,4227,34,4,0.11764705882352941
22543165_0.java,1,1,14,4,0.2857142857142857
17156705_0.java,32,31,18,4,0.2222222222222222
11151442_2.java,71,41,28,4,0.14285714285714285
17247969_0.java,1,1,71,5,0.07042253521126761
10155466_0.java,16,16,21,4,0.19047619047619047
15739387_0.java,1,1,12,4,0.3333333333333333
21818931_0.java,28,25,62,4,0.06451612903225806
15328399_0.java,3,3,92,4,0.043478260869565216
1329939_0.java,77,40,11,6,0.5454545454545454
11405151_0.java,734,514,37,5,0.13513513513513514
5737384_0.java,144,127,60,5,0.08333333333333333
4483460_0.java,219,192,10,5,0.5
20646237_0.java,1185,1137,6,4,0.6666666666666666
2622935_0.java,8,8,47,5,0.10638297872340426
15099260_0.java,2774,814,9,4,0.4444444444444444
687574_0.java,1,1,9,4,0.4444444444444444
24217085_2.java,756,463,14,7,0.5
20930420_2.java,20,19,20,6,0.3
25561128_2.java,2,2,15,5,0.3333333333333333
15454842_0.java,2944,952,128,4,0.03125
19784419_0.java,111,25,13,7,0.5384615384615384
