SD,SE,ND,NE
11,4,21,4
7,5,28,6
7,5,8,4
5,4,15,4
10,4,12,6
9,6,8,7
8,4,13,6
7,4,13,4
10,4,8,4
7,7,8,5
7,5,8,7
8,4,8,4
7,4,10,4
11,4,8,5
5,4,8,4
5,4,8,4
10,6,11,4
5,4,12,4
6,4,10,4
6,5,8,5
10,5,8,7
10,4,8,5
7,4,11,4
9,4,7,5
5,8,8,6
10,5,16,4
7,4,9,4
7,5,18,8
7,5,7,7
7,4,7,4
10,7,13,7
7,5,9,6
10,4,11,4
9,5,9,4
7,4,8,4
7,7,8,4
13,5,9,4
9,5,9,5
7,4,8,12
10,4,9,4
7,6,26,11
5,6,8,9
6,4,9,5
7,4,11,4
9,4,8,8
7,5,8,8
7,5,8,5
5,4,8,5
5,4,8,4
10,4,8,5
6,4,8,9
8,4,9,4
6,7,8,7
7,4,8,4
7,5,8,5
5,4,12,5
21,4,9,6
5,5,11,4
10,4,9,4
6,4,8,4
7,5,8,4
6,4,11,6
10,5,8,5
5,5,11,4
7,5,9,6
6,5,8,6
8,4,12,5
8,5,8,5
7,5,8,5
7,4,8,4
7,4,8,4
9,5,8,6
10,6,8,6
7,4,8,9
5,4,8,9
6,17,8,4
5,4,8,8
6,5,19,16
6,4,11,4
7,5,11,6
7,4,8,6
7,6,8,7
8,5,8,4
6,5,8,4
7,4,12,5
8,5,8,6
5,4,9,5
7,4,10,7
6,4,8,5
8,4,8,5
5,4,8,6
6,6,11,4
6,6,8,4
6,7,8,6
8,4,10,12
6,5,8,5
5,6,8,5
5,4,8,7
7,4,11,5
6,4,8,5
6,4,10,5
6,5,9,4
5,5,10,4
6,5,8,4
9,4,13,6
10,6,11,12
10,5,8,4
5,6,9,4
6,4,12,4
12,5,8,6
5,4,9,5
5,6,10,5
10,5,9,6
7,5,9,4
14,4,8,4
5,4,12,8
5,4,8,6
12,5,15,4
6,4,8,4
7,6,8,4
10,4,11,5
7,6,8,4
7,5,8,6
5,4,8,4
9,5,8,6
15,5,8,8
8,4,8,4
6,4,8,4
7,4,8,6
5,6,8,5
10,4,8,4
7,4,8,7
5,4,8,5
7,4,11,6
5,4,9,4
10,5,9,6
7,6,11,6
8,6,21,7
7,4,8,5
7,5,11,4
7,4,12,7
7,4,8,6
10,5,10,4
8,6,15,6
5,4,9,4
5,5,8,4
7,4,8,6
5,5,8,4
6,4,8,4
7,5,8,7
5,5,8,4
6,5,9,5
38,4,13,6
12,6,8,5
7,6,10,4
7,5,9,7
7,5,8,5
7,4,8,5
5,4,12,4
7,4,10,4
9,4,8,4
6,4,9,8
7,5,11,7
7,4,9,4
5,6,8,4
5,6,19,7
6,4,8,5
10,4,10,6
9,4,8,4
7,5,11,5
7,6,14,7
5,6,8,5
7,4,9,4
10,4,9,8
7,4,8,4
6,5,9,4
7,5,8,4
5,4,8,4
10,4,8,7
5,6,8,4
7,4,10,4
5,4,8,4
10,6,8,4
28,4,9,5
5,6,9,5
6,4,9,8
10,4,15,4
7,4,8,4
5,5,11,7
7,4,9,6
5,5,8,7
7,6,15,7
20,4,11,4
7,4,12,4
8,4,7,6
6,4,11,8
6,8,8,5
10,5,11,4
6,4,8,4
7,5,11,4
7,5,8,6
7,6,8,6
5,6,8,6
7,4,8,6
6,4,8,5
6,7,8,4
7,6,8,6
5,7,8,5
5,6,9,4
7,4,8,4
5,6,9,8
7,5,7,4
7,4,18,8
8,4,8,8
9,4,8,6
10,4,9,5
9,4,11,7
5,5,18,4
5,7,9,4
8,5,9,6
5,5,8,6
7,4,9,4
5,5,9,5
10,4,15,4
6,4,11,4
7,6,8,4
7,5,8,8
6,6,11,4
9,4,8,5
8,4,8,4
5,5,10,4
8,5,8,6
7,4,8,5
10,4,11,6
9,4,8,4
7,5,9,4
14,4,8,8
8,5,8,4
10,6,9,5
7,5,8,4
10,4,9,9
6,4,16,4
7,4,8,4
7,6,14,4
6,4,8,9
5,6,12,8
5,5,10,7
7,5,8,4
5,5,7,4
7,4,10,5
7,5,9,7
7,5,24,4
7,5,19,4
6,6,8,5
5,6,8,5
7,4,9,4
5,4,9,5
5,4,8,4
10,4,15,4
5,4,8,5
